buyer_name,supplier_name,hsn_code,product_description,import_country,export_country,trade_date,quantity
Adani Ports,Larsen & Toubro,8431,Port crane components,India,India,2024-01-10,320
Adani Ports,Cargotec Corp,8426,Ship-to-shore cranes,India,Finland,2024-02-15,18
Adani Ports,ABB Ltd,8537,Electrical switchgear panels,India,Switzerland,2024-03-20,95
Adani Ports,JSW Steel,7308,Steel structural fabrication,India,India,2024-04-05,1800
Adani Ports,Siemens AG,8504,Power transformers industrial,India,Germany,2024-01-28,42
Reliance Industries,Honeywell Intl,8543,Refinery process control units,India,United States,2024-02-10,76
Reliance Industries,Emerson Electric,8481,Industrial control valves,India,United States,2024-03-15,420
Reliance Industries,Axens SA,3817,Petroleum catalyst compounds,India,France,2024-01-22,850
Reliance Industries,KBR Inc,8419,Process heat exchanger units,India,United States,2024-04-08,34
Reliance Industries,Flowserve Corp,8413,High-pressure process pumps,India,United States,2024-02-28,210
Tata Steel,ArcelorMittal,7205,Iron ore pellet feed,India,Luxembourg,2024-01-14,45000
Tata Steel,NMDC Ltd,2601,Iron ore concentrate fines,India,India,2024-02-20,92000
Tata Steel,Coal India,2701,Metallurgical coking coal,India,India,2024-03-08,38000
Tata Steel,Praxair Inc,2804,Industrial oxygen gas supply,India,United States,2024-04-12,15000
Tata Steel,Danieli Spa,8455,Steel rolling mill equipment,India,Italy,2024-01-30,12
Mahindra & Mahindra,Bosch India,8708,Diesel fuel injection systems,India,Germany,2024-02-05,28000
Mahindra & Mahindra,Minda Corp,8512,Automotive lighting assemblies,India,India,2024-03-18,42000
Mahindra & Mahindra,Bharat Forge,8483,Crankshaft forged steel parts,India,India,2024-01-25,18500
Mahindra & Mahindra,ZF Friedrichshafen,8708,Transmission gearbox systems,India,Germany,2024-04-15,9200
Mahindra & Mahindra,WABCO Holdings,8708,ABS brake control modules,India,United States,2024-02-22,16000
Wipro Ltd,Taiwan Semiconductor,8542,Application processor chips,India,Taiwan,2024-01-08,250000
Wipro Ltd,Celestica Inc,8471,Server motherboard assemblies,India,Canada,2024-02-14,8500
Wipro Ltd,Arrow Electronics,8542,Electronic component kits,India,United States,2024-03-25,42000
Haier Group,LG Electronics,8528,OLED television panels,China,South Korea,2024-01-18,350000
Haier Group,Shinhan Electric,8419,Refrigeration compressor units,China,South Korea,2024-02-25,180000
Haier Group,Nidec Corp,8501,BLDC motor assemblies,China,Japan,2024-03-10,250000
Haier Group,STMicroelectronics,8542,Power management IC chips,China,Switzerland,2024-04-02,1200000
Midea Group,Welling Motor,8501,AC induction motor units,China,China,2024-01-22,300000
Midea Group,Highly Electric,8414,Rotary compressor elements,China,China,2024-02-15,220000
Midea Group,Honeywell Intl,8543,Smart home control modules,China,United States,2024-03-28,85000
BYD Company,Ganfeng Lithium,2836,Lithium iron phosphate,China,China,2024-01-05,35000
BYD Company,Contemporary Amperex,8507,Battery cell procurement,China,China,2024-02-10,48000
BYD Company,Shenzhen Inovance,8537,Motor drive controllers,China,China,2024-03-15,22000
BYD Company,Sensata Technologies,8543,Battery management sensors,China,United States,2024-04-08,95000
Volkswagen AG,Continental AG,8708,Electronic stability systems,Germany,Germany,2024-02-08,55000
Volkswagen AG,Webasto SE,8708,Panoramic roof assemblies,Germany,Germany,2024-03-20,28000
Volkswagen AG,Thyssenkrupp,7209,Cold-rolled automotive steel,Germany,Germany,2024-01-12,120000
Volkswagen AG,Saint-Gobain,7007,Automotive safety glass,Germany,France,2024-04-18,65000
Volkswagen AG,ElringKlinger,8484,Engine sealing systems,Germany,Germany,2024-02-28,42000
Hyundai Motor,Hyosung Corp,5402,High-tenacity polyester yarn,South Korea,South Korea,2024-01-16,8500
Hyundai Motor,Hankook Tyre,4011,Passenger car radial tyres,South Korea,South Korea,2024-02-22,180000
Hyundai Motor,Mobis,8708,Front module assemblies,South Korea,South Korea,2024-03-05,52000
Hyundai Motor,HL Mando,8708,Rack-and-pinion steering,South Korea,South Korea,2024-01-30,38000
Renault SA,Valeo SA,8512,Adaptive headlamp systems,France,France,2024-02-12,33000
Renault SA,Plastic Omnium,8708,Bumper fascia systems,France,France,2024-03-22,48000
Renault SA,Faurecia,8708,Exhaust emission systems,France,France,2024-01-08,29000
Renault SA,Magneti Marelli,8543,Engine control unit modules,France,Italy,2024-04-10,21000
Nestlé SA,Olam International,1801,Raw cocoa bean supply,Switzerland,Ivory Coast,2024-01-14,9500
Nestlé SA,Barry Callebaut,1806,Bulk chocolate mass,Switzerland,Belgium,2024-02-18,12000
Nestlé SA,Givaudan SA,3302,Food flavoring compounds,Switzerland,Switzerland,2024-03-25,3200
Nestlé SA,Tetra Pak,3923,Aseptic packaging systems,Switzerland,Sweden,2024-04-06,850000
Unilever PLC,Wilmar Intl,1511,Refined palm olein oil,United Kingdom,Singapore,2024-01-20,28000
Unilever PLC,Croda Intl,3401,Surfactant soap base,United Kingdom,United Kingdom,2024-02-25,4500
Unilever PLC,IFF Inc,3302,Perfume fragrance compounds,United Kingdom,United States,2024-03-12,2800
Unilever PLC,Huhtamaki,3923,Flexible packaging laminates,United Kingdom,Finland,2024-04-14,1200000
Procter & Gamble,Celanese Corp,3904,Specialty polymer resins,United States,United States,2024-02-06,18000
Procter & Gamble,Georgia-Pacific,4818,Nonwoven tissue substrate,United States,United States,2024-03-14,250000
Procter & Gamble,BASF SE,3402,Anionic surfactant blend,United States,Germany,2024-01-24,8500
Procter & Gamble,Takasago Intl,3302,Aroma chemical compounds,United States,Japan,2024-04-20,1900
Johnson & Johnson,Lonza Group,2941,Active pharmaceutical ingredients,United States,Switzerland,2024-01-10,1200
Johnson & Johnson,West Pharma,9018,Drug delivery container systems,United States,United States,2024-02-15,850000
Johnson & Johnson,Gerresheimer,7010,Glass pharmaceutical vials,United States,Germany,2024-03-20,1500000
Johnson & Johnson,Avanir Pharma,2941,Specialty drug synthesis,United States,United States,2024-04-05,650
Pfizer Inc,Divi's Laboratories,2941,API bulk drug supply,United States,India,2024-02-08,2400
Pfizer Inc,Schott AG,7010,Vial glass containers pharma,United States,Germany,2024-03-16,2000000
Pfizer Inc,Siegfried AG,2941,Contract drug manufacturing,United States,Switzerland,2024-01-22,980
Pfizer Inc,Samsung Biologics,2941,Biologics contract fill,United States,South Korea,2024-04-12,560
HDFC Bank,Infosys Ltd,8471,Core banking software systems,India,India,2024-01-15,240
HDFC Bank,IBM India,8471,Mainframe hardware systems,India,United States,2024-02-20,18
HDFC Bank,NCR Corp,8472,ATM cash dispenser units,India,United States,2024-03-10,2800
ICICI Bank,Wipro Ltd,8471,Digital banking platform,India,India,2024-01-28,185
ICICI Bank,Diebold Nixdorf,8472,Branch automation kiosks,India,United States,2024-02-14,1200
ICICI Bank,Temenos AG,8471,Banking software licences,India,Switzerland,2024-03-30,42
Divi's Laboratories,Jubilant Life,2941,Intermediary chemical API,India,India,2024-02-05,1800
Divi's Laboratories,Lanxess AG,2904,Specialty solvent chemicals,India,Germany,2024-03-18,2400
Divi's Laboratories,Merck KGaA,2941,Research-grade reagents,India,Germany,2024-04-10,380
Sun Pharma,Divis Laboratories,2941,API bulk pharmaceutical,India,India,2024-01-20,3200
Sun Pharma,Borregaard AS,3812,Cellulose pharma excipient,India,Norway,2024-02-28,850
Sun Pharma,Evonik Ind,2841,Specialty pharma excipients,India,Germany,2024-04-02,1200
Wistron Corp,Foxconn,8471,Notebook ODM assemblies,Taiwan,Taiwan,2024-01-12,1200000
Wistron Corp,Compal Electronics,8471,Computer sub-assemblies,Taiwan,Taiwan,2024-02-18,850000
Wistron Corp,Pegatron Corp,8471,Electronics manufacturing,Taiwan,Taiwan,2024-03-22,650000
Foxconn,AUO Corp,9013,LCD display panels 15in,Taiwan,Taiwan,2024-01-08,2500000
Foxconn,Zhen Ding Tech,8534,Flexible printed circuits,Taiwan,Taiwan,2024-02-12,8000000
Foxconn,Yageo Corp,8532,SMD resistor capacitor,Taiwan,Taiwan,2024-03-28,15000000
Pegatron Corp,Catcher Tech,7616,Aluminum alloy chassis,Taiwan,Taiwan,2024-01-25,1800000
Pegatron Corp,Kinsus Corp,8534,Flip-chip substrate PCB,Taiwan,Taiwan,2024-03-05,3200000
Xiaomi Corp,CEVA Inc,8542,Wireless communication chips,China,United States,2024-02-05,850000
Xiaomi Corp,OFilm Tech,9001,Camera module assemblies,China,China,2024-03-12,2200000
Xiaomi Corp,Sunny Optical,9001,Lens optical assembly,China,China,2024-04-08,1800000
Oppo Electronics,MediaTek Inc,8542,Dimensity SoC chipsets,China,Taiwan,2024-01-18,3500000
Oppo Electronics,Largan Precision,9001,High-resolution camera lens,China,Taiwan,2024-02-22,1200000
Oppo Electronics,Murata Mfg,8532,MLCC component supply,China,Japan,2024-03-30,12000000
ABB Ltd,Hitachi Energy,8504,High-voltage transformers,Switzerland,Japan,2024-01-14,85
ABB Ltd,Rexnord Corp,8483,Industrial gear drives,Switzerland,United States,2024-02-20,620
ABB Ltd,Baldor Electric,8501,Industrial motor drives,Switzerland,United States,2024-03-25,1400
Siemens AG,Osram GmbH,8539,LED industrial luminaires,Germany,Germany,2024-01-06,185000
Siemens AG,TE Connectivity,8536,Precision connector array,Germany,Switzerland,2024-02-14,850000
Siemens AG,Wago GmbH,8536,Terminal block systems,Germany,Germany,2024-03-20,420000
ArcelorMittal,Vale SA,2601,Iron ore pellets BRBF,Luxembourg,Brazil,2024-01-10,850000
